year,id,language,files,blank,comment,code
1994,1,C,440,25562,58367,120756
1994,2,C/C++ Header,337,4573,15661,16661
1994,3,lex,45,74,404,6110
1994,4,Bourne Shell,45,405,830,2453
1994,5,yacc,2,405,361,2105
1994,6,make,69,571,628,2059
1994,7,TeX,2,93,17,836
1994,8,Fortran 77,55,176,21,588
1994,9,Perl,4,71,82,324
1994,10,Assembly,3,8,36,77
1994,11,Clojure,1,15,0,60
1994,12,awk,1,0,8,23
1994,13,PHP,1,9,3,17
1994,14,sed,1,0,6,2
1994,15,C Shell,1,0,0,1
1996,1,C,322,18849,42106,89151
1996,2,C/C++ Header,281,3049,10038,11808
1996,3,yacc,2,286,382,1738
1996,4,Fortran 77,61,225,26,1148
1996,5,Bourne Shell,18,202,415,946
1996,6,make,33,329,621,743
1996,7,SQL,19,109,253,545
1996,8,C++,9,118,216,488
1996,9,lex,2,56,54,261
1996,10,Assembly,3,9,29,75
1996,11,Tcl/Tk,2,8,34,45
1996,12,C Shell,1,2,0,6
1996,13,sed,1,0,7,2
1997,1,C,340,19989,43617,94927
1997,2,C/C++ Header,300,3167,10491,12147
1997,3,lex,45,116,63,3775
1997,4,make,93,924,1078,2020
1997,5,yacc,2,298,383,1830
1997,6,Bourne Shell,19,222,398,1049
1997,7,SQL,23,184,366,731
1997,8,C++,9,117,216,482
1997,9,Assembly,3,9,29,75
1997,10,Perl,1,13,21,59
1997,11,Tcl/Tk,2,8,34,45
1997,12,C Shell,1,2,0,6
1997,13,sed,1,0,7,2
1998,1,C,380,25130,46393,120556
1998,2,C/C++ Header,332,3633,10799,15497
1998,3,Bourne Shell,34,879,1214,7354
1998,4,HTML,21,331,1,4831
1998,5,lex,57,178,111,4479
1998,6,yacc,2,475,550,3446
1998,7,Java,20,646,3285,3143
1998,8,SQL,82,1714,1235,3049
1998,9,Tcl/Tk,3,118,187,2746
1998,10,make,103,1037,1135,2170
1998,11,Perl,7,409,581,722
1998,12,Text,3,242,0,617
1998,13,C++,13,137,360,523
1998,14,Assembly,4,12,29,105
1998,15,diff,1,4,12,7
1998,16,C Shell,1,2,0,6
1998,17,sed,1,0,7,2
1999,1,C,458,34247,54730,166568
1999,2,C/C++ Header,373,4706,12465,20209
1999,3,Bourne Shell,45,1622,1792,12458
1999,4,yacc,4,1279,1289,9570
1999,5,SQL,107,2296,1830,6889
1999,6,Java,33,1179,5130,5555
1999,7,lex,62,315,244,5438
1999,8,Tcl/Tk,4,218,158,5194
1999,9,make,115,1129,1295,2328
1999,10,Python,14,133,157,1731
1999,11,HTML,10,146,0,1171
1999,12,Perl,9,458,676,826
1999,13,C++,14,146,360,573
1999,14,Text,6,623,0,522
1999,15,Windows Resource File,2,34,35,230
1999,16,IDL,4,80,0,195
1999,17,Windows Module Definition,2,1,0,127
1999,18,Assembly,3,9,29,73
1999,19,C Shell,2,12,25,62
1999,20,diff,1,4,12,7
1999,21,INI,1,0,0,3
1999,22,sed,1,0,7,2
2000,1,C,498,36211,63215,164892
2000,2,C/C++ Header,403,5176,13636,20863
2000,3,Bourne Shell,56,1959,2387,16238
2000,4,yacc,4,1417,1749,9383
2000,5,SQL,118,2595,2160,9105
2000,6,Java,48,1923,8393,8907
2000,7,Tcl/Tk,19,590,251,7710
2000,8,make,116,1210,1321,2742
2000,9,HTML,33,272,0,2273
2000,10,lex,5,220,281,1091
2000,11,Perl,11,503,700,972
2000,12,Python,9,102,103,950
2000,13,C++,14,216,339,636
2000,14,Text,7,623,0,524
2000,15,IDL,5,84,0,231
2000,16,Windows Resource File,2,34,35,230
2000,17,Windows Module Definition,2,1,0,128
2000,18,Assembly,3,9,29,73
2000,19,Properties,2,0,3,71
2000,20,C Shell,2,12,25,62
2000,21,Bourne Again Shell,3,6,8,30
2000,22,diff,1,6,27,13
2000,23,INI,1,0,0,3
2000,24,sed,1,0,7,2
2001,1,C,532,42300,73164,193300
2001,2,C/C++ Header,418,5624,14808,22587
2001,3,Java,93,4015,17384,18157
2001,4,Bourne Shell,63,2055,2319,14876
2001,5,yacc,6,1511,1857,10389
2001,6,SQL,102,2882,2281,9643
2001,7,Tcl/Tk,19,591,252,7752
2001,8,HTML,36,944,8,4660
2001,9,make,130,1418,1223,3363
2001,10,Perl,24,773,951,2406
2001,11,lex,7,339,546,1556
2001,12,Python,9,203,306,1067
2001,13,m4,11,98,29,802
2001,14,C++,14,216,343,641
2001,15,Text,6,618,0,516
2001,16,Properties,5,0,13,273
2001,17,IDL,5,84,0,231
2001,18,Windows Resource File,2,34,35,230
